chiusura_max.c3d



Time(s):	Emg_1(uV):	Emg_2(uV):	Emg_3(uV):	Emg_4(uV):	Emg_5(uV):
0	-6.94885	-3.12195	-8.7616	-29.00391	49.95117
0.0005	-2.92053	-2.81982	-9.46655	-24.37134	34.03931
0.001	-8.7616	-10.57434	-3.52478	-16.81824	29.20532
0.0015	-4.53186	-5.33752	-8.25806	-9.46655	12.89062
0.002	0.20142	-0.90637	-2.71912	-0.30212	7.75452
0.0025	-5.33752	-8.45947	-1.3092	-5.0354	13.39417
0.003	-12.18567	-7.04956	-0.70496	-5.74036	14.50195
0.0035	-8.8623	-5.74036	-3.52478	-10.17151	11.48071
0.004	-7.45239	-7.5531	-0.50354	-7.85522	5.74036
0.0045	-11.78284	-2.5177	1.51062	1.3092	3.8269
0.005	-4.12903	-3.92761	1.00708	5.23682	-4.22974
0.0055	-3.7262	3.8269	-3.7262	6.94885	-6.3446
0.006	-10.37292	-1.51062	1.71204	-2.31628	-3.52478
0.0065	-3.92761	-4.83398	-0.90637	-0.50354	-4.53186
0.007	-2.31628	-1.81274	-1.2085	-2.01416	-2.61841
0.0075	-4.33044	-6.64673	0.10071	2.11487	-1.61133
0.008	-3.02124	-5.33752	-1.61133	3.92761	-6.44531
0.0085	-6.54602	-0.40283	-3.12195	4.02832	-11.17859
0.009	-0.30212	-0.90637	-2.61841	1.81274	-1.00708
0.0095	-1.40991	-2.71912	2.41699	0	-4.33044
0.01	7.45239	-6.64673	-4.63257	9.66797	-15.20691
0.0105	-0.60425	-2.31628	-0.50354	10.47363	-24.06921
0.011	-0.20142	-2.92053	-1.3092	12.78992	-24.57275
0.0115	-1.00708	-2.5177	3.42407	20.44373	-30.51453
0.012	-1.81274	-6.74744	0	17.01965	-31.32019
0.0125	-4.33044	2.11487	5.94177	24.67346	-29.20532
0.013	-7.45239	-0.90637	-0.70496	10.97717	-23.56567
0.0135	-11.17859	-0.10071	1.51062	4.33044	-12.18567
0.014	-6.74744	1.61133	-1.61133	2.21558	-8.66089
0.0145	-13.39417	-1.10779	-0.60425	5.74036	-9.36584
0.015	-12.08496	0	0.70496	-3.92761	-5.74036
0.0155	-11.48071	0.70496	0.30212	-0.60425	-2.71912
0.016	-3.02124	-4.33044	-1.61133	-3.42407	1.3092
0.0165	-6.44531	-6.84814	-0.10071	-7.04956	6.94885
0.017	-11.07788	-8.96301	-3.12195	-15.71045	17.42249
0.0175	-7.75452	-6.14319	-1.51062	-5.84106	26.28479
0.018	-8.96301	-9.56726	-5.13611	-21.04797	46.42639
0.0185	-8.35876	-10.77576	-1.81274	-28.60107	53.27454
0.019	-12.08496	-8.66089	-5.53894	-20.44373	31.21948
0.0195	-9.56726	-8.66089	-1.91345	-16.81824	16.41541
0.02	-6.04248	-9.76868	-4.12903	-9.97009	2.41699
0.0205	-1.51062	-1.91345	-4.43115	-2.41699	0.50354
0.021	4.12903	-2.31628	-7.04956	-6.3446	-3.22266
0.0215	1.51062	-2.71912	-3.7262	-5.33752	-6.3446
0.022	3.8269	0.70496	-0.30212	-7.15027	-11.17859
0.0225	0.80566	3.02124	-1.91345	-6.74744	-10.0708
0.023	-0.30212	1.71204	-0.70496	-4.73328	-13.29346
0.0235	13.49487	2.92053	-2.71912	-10.37292	-13.89771
0.024	12.99133	3.32336	-3.52478	-11.98425	-9.36584
0.0245	17.12036	-2.11487	-2.11487	-16.81824	-15.40833
0.025	16.81824	6.3446	-1.40991	-14.40125	-19.53735
0.0255	21.55151	6.54602	-4.63257	-13.09204	-20.74585
0.026	16.71753	4.12903	-3.02124	-16.61682	-17.52319
0.0265	8.35876	2.31628	-7.85522	-7.45239	-19.33594
0.027	10.77576	5.84106	-1.71204	2.81982	-20.44373
0.0275	4.12903	3.62549	-2.61841	2.31628	-13.09204
0.028	1.61133	4.12903	-4.12903	0.20142	-16.81824
0.0285	-0.90637	4.53186	-1.3092	4.63257	-12.5885
0.029	4.02832	6.44531	0.60425	11.58142	-26.28479
0.0295	-3.8269	0.10071	3.32336	14.30054	-20.04089
0.03	0.40283	4.02832	1.10779	20.24231	-23.36426
0.0305	1.71204	-3.22266	0.10071	7.25098	-16.61682
0.031	-5.84106	2.81982	3.22266	6.2439	-19.94019
0.0315	1.10779	0	-0.40283	5.43823	-13.59558
0.032	2.01416	2.01416	-7.65381	-4.12903	-13.797
0.0325	-2.11487	-3.92761	2.11487	-1.10779	-9.97009
0.033	-6.04248	-4.33044	0	-9.56726	2.92053
0.0335	-6.14319	-0.50354	-1.3092	-12.89062	15.50903
0.034	-6.2439	-2.81982	1.10779	-18.22815	26.48621
0.0345	-4.73328	-3.12195	-4.22974	-18.63098	14.19983
0.035	-1.51062	-8.56018	-4.33044	0.80566	-0.30212
0.0355	-9.36584	-8.45947	-0.30212	6.64673	-12.38708
0.036	-10.17151	-6.84814	-1.2085	10.37292	-14.80408
0.0365	-10.77576	-5.13611	1.2085	7.25098	-15.40833
0.037	-10.27222	-5.74036	-3.42407	4.43115	-12.48779
0.0375	-10.0708	-9.26514	-1.00708	5.84106	-4.12903
0.038	-13.797	-7.15027	-6.04248	4.02832	-3.12195
0.0385	-10.0708	-13.69629	0.10071	2.5177	3.32336
0.039	-8.56018	-7.35168	-1.40991	2.11487	-1.91345
0.0395	-8.96301	-2.21558	-4.53186	9.66797	-6.3446
0.04	-2.81982	-7.45239	1.71204	17.01965	-1.2085
0.0405	-7.15027	-5.53894	-2.31628	17.12036	-6.64673
0.041	-2.5177	-3.02124	-5.74036	13.59558	-10.87646
0.0415	-3.92761	3.22266	2.71912	7.75452	-8.15735
0.042	-2.5177	-2.81982	-1.61133	6.64673	-2.01416
