apertura_max.c3d



Time(s):	Emg_1(uV):	Emg_2(uV):	Emg_3(uV):	Emg_4(uV):	Emg_5(uV):
0	-2.5177	2.01416	1.00708	2.11487	-9.16443
0.0005	-9.16443	-11.17859	4.33044	-1.40991	-3.12195
0.001	-14.90479	-1.00708	8.15735	-5.43823	-1.71204
0.0015	-12.18567	-8.96301	5.33752	-2.11487	-0.10071
0.002	-5.23682	-5.33752	2.31628	0.20142	0.80566
0.0025	-8.8623	-4.83398	-6.94885	2.5177	-6.2439
0.003	-0.90637	-5.74036	0.90637	5.13611	-4.02832
0.0035	1.91345	-9.86938	-3.02124	-1.3092	-4.02832
0.004	-0.80566	-7.95593	-0.10071	-3.02124	1.40991
0.0045	3.52478	-3.52478	-0.40283	-2.81982	0.70496
0.005	-2.21558	-6.74744	5.84106	0.10071	9.26514
0.0055	-5.33752	-5.0354	-2.31628	1.3092	0.50354
0.006	-5.94177	-4.43115	-2.21558	-1.71204	5.53894
0.0065	-7.25098	-4.33044	-1.91345	-2.31628	4.22974
0.007	-3.7262	-7.5531	-8.56018	-2.92053	1.40991
0.0075	-2.31628	-4.12903	-4.93469	-5.33752	3.52478
0.008	-3.42407	-0.40283	-2.41699	-3.7262	2.5177
0.0085	-13.89771	2.81982	1.61133	4.33044	-2.41699
0.009	-9.46655	-1.3092	4.53186	0.50354	-6.74744
0.0095	-7.45239	0.80566	-1.91345	2.61841	3.32336
0.01	-9.16443	-8.7616	5.13611	2.21558	-2.61841
0.0105	-7.35168	-3.7262	-1.3092	2.11487	-3.52478
0.011	-5.74036	-1.91345	-2.61841	-3.62549	7.25098
0.0115	-2.11487	-2.61841	-4.12903	1.71204	7.35168
0.012	-5.13611	3.32336	1.00708	-5.43823	5.33752
0.0125	-3.12195	0.50354	-2.71912	-3.02124	-6.74744
0.013	-5.33752	4.83398	-3.02124	-0.20142	-4.53186
0.0135	-6.74744	6.14319	-4.02832	-3.02124	3.7262
0.014	-0.50354	-1.51062	-7.65381	-7.75452	5.43823
0.0145	-8.56018	-1.91345	-2.01416	0.20142	-0.50354
0.015	-0.50354	-3.92761	-0.30212	-2.71912	0.10071
0.0155	-1.2085	-1.00708	1.10779	-4.73328	-0.90637
0.016	1.00708	-0.30212	-8.25806	-4.53186	-3.02124
0.0165	-5.23682	-2.21558	-1.2085	-6.2439	-2.92053
0.017	-7.15027	0.20142	-0.30212	-1.91345	0.40283
0.0175	-8.8623	-3.42407	-8.96301	-7.04956	2.11487
0.018	-4.12903	-0.10071	-10.27222	-4.73328	-1.91345
0.0185	-6.14319	3.62549	-8.35876	0.70496	-2.5177
0.019	-6.74744	7.04956	-5.94177	7.35168	-5.23682
0.0195	-7.95593	-1.91345	-3.52478	2.92053	-12.38708
0.02	-3.52478	1.91345	-4.83398	3.52478	-12.28638
0.0205	2.31628	3.7262	1.00708	-2.92053	-6.74744
0.021	-1.2085	1.2085	-1.00708	-10.37292	-5.94177
0.0215	-5.74036	4.33044	3.7262	5.0354	-7.04956
0.022	-2.21558	-4.63257	-0.70496	0.10071	-5.74036
0.0225	-5.74036	-11.17859	6.94885	-0.30212	5.0354
0.023	-6.94885	-12.89062	-1.71204	-0.60425	6.94885
0.0235	-2.41699	-3.02124	-0.50354	4.22974	4.12903
0.024	-5.13611	-2.11487	-5.13611	4.93469	8.56018
0.0245	-12.78992	-11.68213	-2.41699	3.12195	7.15027
0.025	-7.45239	-7.45239	-3.22266	2.31628	8.96301
0.0255	-3.02124	-8.8623	-5.84106	-0.90637	4.12903
0.026	-1.91345	-11.17859	-2.92053	4.22974	12.99133
0.0265	-7.65381	-13.797	-0.70496	2.31628	4.83398
0.027	-5.23682	-9.76868	-2.31628	7.75452	-3.62549
0.0275	-8.35876	-3.8269	-3.52478	7.35168	-0.10071
0.028	-11.98425	-9.26514	-2.31628	-0.30212	0.90637
0.0285	-4.22974	-3.32336	2.71912	-1.40991	5.74036
0.029	-8.96301	-8.66089	-0.80566	-10.17151	1.40991
0.0295	-7.04956	-1.3092	1.40991	3.7262	-1.3092
0.03	-5.84106	-4.12903	-2.92053	0.70496	-0.90637
0.0305	-3.92761	-2.41699	-3.02124	7.04956	-5.94177
0.031	-3.7262	-8.05664	-7.85522	3.92761	-9.46655
0.0315	0.30212	-3.52478	-7.95593	2.41699	-10.17151
0.032	0.60425	-1.2085	-5.53894	-0.60425	-9.86938
0.0325	4.53186	1.3092	-1.91345	-2.81982	-5.53894
0.033	0.90637	3.12195	2.5177	-7.15027	-8.56018
0.0335	-5.13611	0.80566	-3.7262	-6.2439	-11.98425
0.034	11.38	0.90637	0.90637	-4.12903	-5.74036
0.0345	11.48071	-4.33044	0.70496	-2.41699	-6.54602
0.035	13.99841	0.50354	-2.21558	-9.26514	-7.5531
0.0355	9.36584	2.31628	-5.23682	-3.12195	-9.56726
0.036	5.33752	-3.02124	-9.36584	0.80566	-0.40283
0.0365	3.22266	0.10071	-6.04248	1.00708	-8.56018
0.037	-1.3092	6.74744	3.02124	-4.73328	-1.91345
0.0375	3.52478	1.91345	-3.52478	0.90637	-4.02832
0.038	-1.91345	0.60425	2.11487	-2.11487	-5.13611
0.0385	-2.41699	1.2085	2.21558	-2.61841	0.60425
0.039	-1.91345	-0.10071	0.10071	-5.84106	-2.5177
0.0395	4.63257	3.42407	-0.10071	-4.33044	-1.10779
0.04	3.12195	-2.31628	-1.40991	-7.75452	-6.04248
0.0405	-1.51062	2.61841	2.01416	0.10071	-9.56726
0.041	5.23682	0	-6.14319	-5.13611	-6.54602
0.0415	-5.94177	-0.10071	1.40991	-5.94177	-1.10779
0.042	-1.40991	-0.20142	6.54602	-7.25098	-3.52478
0.0425	1.81274	5.43823	4.22974	-4.22974	-6.04248
0.043	-0.70496	2.92053	2.61841	-3.52478	-6.54602
0.0435	-1.00708	-1.10779	4.33044	-7.45239	0.30212
0.044	-1.51062	6.84814	2.61841	-4.53186	4.02832
0.0445	-2.31628	-5.53894	-0.50354	-6.64673	6.14319
0.045	-1.10779	1.40991	0.10071	-5.84106	0.90637
0.0455	-3.7262	-4.83398	-3.62549	-0.10071	-1.40991
0.046	-3.52478	-10.47363	-1.40991	1.71204	-3.52478
0.0465	-7.04956	-8.56018	-2.11487	4.53186	0.10071
0.047	-8.05664	-10.57434	-1.91345	3.32336	4.63257
0.0475	-2.5177	-12.99133	-1.81274	4.33044	3.22266
0.048	-10.0708	-8.7616	-1.40991	-0.60425	7.15027
0.0485	-12.48779	-7.75452	3.02124	5.74036	6.74744
0.049	-10.97717	-7.65381	0.20142	8.56018	4.63257
0.0495	-10.27222	-2.01416	-0.10071	7.15027	2.31628
0.05	-16.81824	-2.5177	-3.52478	5.23682	9.56726
0.0505	-17.01965	1.71204	-1.61133	9.76868	11.88354
0.051	-15.40833	-7.15027	5.33752	4.33044	7.95593
0.0515	-10.87646	-12.08496	3.32336	8.15735	9.36584
0.052	-11.68213	-9.97009	-0.60425	3.52478	13.39417
0.0525	-10.57434	-10.37292	2.11487	2.31628	11.98425
0.053	-8.96301	-8.7616	0.90637	7.5531	7.75452
0.0535	-12.48779	-3.8269	-1.40991	0.50354	6.94885
0.054	-8.35876	-5.43823	-2.01416	5.53894	3.7262
0.0545	-10.67505	-5.43823	5.33752	1.91345	5.13611
0.055	-11.07788	-8.15735	2.71912	4.53186	6.44531
